,0,1,2,3
0,Micronutrients,Median/IQR(Q1-Q3),RDA/AI/EER,Prevalence of inadequacy (%) and (95% CI)
1,Vitamin A(mcg RAE),27.8 (37.1),1300,"98.2(96.3, 99.3)"
2,Vitamin B1(mg),2.1 (0.9),1.4,"13.4(10.1,17.2)"
3,Vitamin B2(mg),1.6 (0.7),1.6,"54.3(49.2, 59.4)"
4,Vitamin B3(mg),20.4 (15.7),17,"42.3(37.2, 47.4)"
5,Vitamin B6(mg),1.7 (1.1),2,"65.6(60.6, 70.4)"
6,Vitamin B12(mcg),0 (6.24),2.8,"68.5(63.6, 73.1)"
7,Vitamin C(mg),79.2 (88.9),120,"73.869,78"
8,Folate (mcg),645 (289.5),500,"25.2(20.9, 29.9)"
9,Calcium (mg),876.3 (318.7),1000,"70.9(66,75.4)"
10,Iron (mg),110.2 (51.3),10,"0(0.00, 1.00)"
11,Zinc(mg),21.2 (11.4),12,"4.7(2.8,7.4)"
12,Selenium (mcg),92.2 (81.6),70,"36(31.1,41.0)"
13,Sodium (mg),552.9 (582.4),1500,"96.1(88.4,94.2)"
14,MAR(12 nutrients),,,"39.9(34.9, 45.0)"
