,0,1,2,3
0,Outcomes,Pre-survey,Post-survey,P
1,Number of staff responses,85,51,
2,Gender,,,
3,Female,79%(n=67),80%(n=41,0.540
4,Male,31%(n=16,20%(n =10),
5,Gender diverse,24%n=2,,
6,Facility role,,,
7,Health care assistants,41%n=35,55%n=28,0.090
8,Nurses,29%(n =25,20%n=10,
9,Chef/foodservice staff,26%(n=22,16%(n=8,
10,Others1,2%(n=2),10%n=5,
11,Not specified,1%n=1,,
12,Age(years),,,
13,25,11%n=9,,0.180
14,26-30,33%(n=28,37%(n=19,
15,31-40,25%n=21,33%(n=17),
16,41-50,18%n=15,18%n=15,
17,51-60,11%n=9,8% (n =4),
18,61,2%n=2,,
19,Not specified,1%n=1),4% (n = 2),
